"id";"danceability";"energy";"loudness";"speechiness";"acousticness";"instrumentalness";"liveness";"valence";"tempo";"duration";"time_signature"
"0DJBgBiYeSn6n1AXAkFVE8";"0.601";0.583;-5.725;0.263;0.144;0.0;0.183;0.32;148.785;208760;4.0
"0dLToDou8YHYJpQltj3Ijy";"0.803";0.695;-5.164;0.041;0.062;0.0;0.105;0.458;119.978;210107;4.0
"0Dn40gxVCMo5TkgS8Ik18Q";"0.669";0.574;-6.442;0.029;0.018;0.003;0.146;0.273;120.013;196400;4.0
"0Dq49j3dELbttQVUJbtn0c";"0.841";0.622;-6.763;0.076;0.041;0.0;0.126;0.738;121.988;164147;4.0
"0dSIrRkA4PadGll16TgbnV";"0.921";0.467;-8.443;0.119;0.015;0.0;0.334;0.287;135.995;191252;4.0
"0dyiHoYbYjYaOEXLpmzQZG";"0.587";0.442;-10.395;0.051;0.225;0.0;0.08;0.158;124.881;277506;4.0
"0DZJACISivjWjscIp5Kg1q";"0.493";0.665;-6.427;0.366;0.011;0.0;0.076;0.385;179.982;171227;4.0
"0E6PsO3ymCfUh7pJQjBgkj";"0.705";0.784;-6.477;0.271;0.013;0.0;0.168;0.377;160.035;264853;4.0
"0e7ipj03S05BNilyu5bRzt";"0.585";0.52;-6.136;0.071;0.124;0.0;0.131;0.129;159.801;218147;4.0
"0E9ZjEAyAwOXZ7wJC0PD33";"0.694";0.77;-5.335;0.149;0.176;0.0;0.118;0.163;125.905;184560;4.0
"0EDSU9JYeKABA14OcOuM7b";"0.714";0.817;-3.987;0.435;0.275;0.0;0.14;0.408;174.1;170200;4.0
"0eeeyCAGnGZInPtpkdYiPa";"0.608";0.47;-6.73;0.043;0.226;0.0;0.096;0.241;81.0;227275;4.0
"0eHCArTPhwUxatY7cEXRiK";"0.884";0.698;-9.101;0.364;0.041;0.0;0.195;0.575;140.068;191938;4.0
"0EPxmvsG1BY5td4aTOkWBF";"0.931";0.604;-1.41;0.057;0.456;0.0;0.049;0.864;129.926;144039;4.0
"0EQMrxdeiBhry9JCxskko3";"0.51";0.842;-2.782;0.103;0.009;0.0;0.346;0.302;87.605;240339;4.0
"0ERbK7qVqveCaBWIiYCrl3";"0.635";0.713;-6.909;0.094;0.228;0.0;0.051;0.749;179.864;204701;4.0
"0evt4UZbdhnHtcAnxkm6A1";"0.907";0.64;-6.542;0.354;0.261;0.0;0.079;0.803;120.995;222477;4.0
"0EwS8XJQspgrj1zSUXhFkl";"0.901";0.598;-6.934;0.17;0.019;0.0;0.079;0.355;117.9;132331;4.0
"0F7FA14euOIX8KcbEturGH";"0.907";0.53;-6.112;0.127;0.058;0.0;0.101;0.507;135.998;113000;4.0
"0fcq51a3gOI6gPvzc0YLsk";"0.797";0.64;-6.272;0.194;0.148;0.0;0.209;0.486;100.002;170053;4.0
"0fea68AdmYNygeTGI4RC18";"0.754";0.646;-5.795;0.317;0.152;0.0;0.108;0.429;176.089;242573;4.0
"0fg8CqpjdojMyXLNzM2PaJ";"0.803";0.743;-3.602;0.068;0.105;0.0;0.099;0.674;108.005;203180;4.0
